company_id,onset_month,conditions_at_onset
COMP_0239,2025-11,cash|unpaid_ar
COMP_0246,2026-04,cash|pays_late
COMP_0248,2026-05,cash|unpaid_ar
COMP_0253,2025-12,cash|pays_late
COMP_0257,2025-12,cash|pays_late
COMP_0262,2026-06,cash|unpaid_ar
COMP_0265,2025-11,cash|pays_late
COMP_0268,2025-09,cash|pays_late|unpaid_ar
COMP_0273,2025-10,cash|unpaid_ar
COMP_0279,2026-02,cash|unpaid_ar
COMP_0287,2026-05,cash|pays_late
COMP_0293,2025-09,cash|pays_late
COMP_0308,2025-12,pays_late|unpaid_ar
COMP_0309,2026-02,pays_late|unpaid_ar
COMP_0313,2025-12,cash|unpaid_ar
COMP_0314,2026-01,cash|pays_late
COMP_0316,2025-12,cash|pays_late
COMP_0326,2026-04,cash|unpaid_ar
COMP_0330,2026-07,cash|unpaid_ar
COMP_0333,2026-05,cash|pays_late
COMP_0336,2026-06,cash|unpaid_ar
COMP_0338,2026-07,cash|unpaid_ar
COMP_0340,2025-09,cash|pays_late
COMP_0341,2026-01,cash|unpaid_ar
COMP_0344,2026-07,cash|pays_late|unpaid_ar
COMP_0349,2025-09,pays_late|unpaid_ar
COMP_0354,2025-11,cash|unpaid_ar
COMP_0361,2026-05,cash|pays_late
COMP_0363,2025-09,cash|pays_late
COMP_0381,2025-10,cash|unpaid_ar
COMP_0384,2025-12,cash|unpaid_ar
COMP_0397,2026-07,cash|pays_late
COMP_0404,2025-10,cash|unpaid_ar
COMP_0410,2025-12,pays_late|unpaid_ar
COMP_0412,2025-10,cash|unpaid_ar
COMP_0424,2026-07,cash|unpaid_ar
COMP_0427,2025-09,cash|pays_late
COMP_0428,2026-01,pays_late|unpaid_ar
COMP_0431,2026-03,cash|unpaid_ar
COMP_0433,2026-01,cash|unpaid_ar
COMP_0438,2026-03,cash|unpaid_ar
COMP_0450,2025-09,cash|unpaid_ar
COMP_0457,2026-01,cash|unpaid_ar
COMP_0460,2025-11,cash|pays_late
COMP_0471,2025-12,cash|unpaid_ar
COMP_0474,2025-09,cash|unpaid_ar
COMP_0476,2025-09,cash|unpaid_ar
COMP_0491,2025-11,cash|pays_late
COMP_0495,2026-03,cash|pays_late
COMP_0496,2025-09,cash|pays_late
COMP_0504,2025-11,cash|pays_late
COMP_0506,2026-04,cash|unpaid_ar
COMP_0507,2026-04,cash|unpaid_ar
COMP_0509,2025-09,cash|unpaid_ar
COMP_0511,2025-09,cash|unpaid_ar
COMP_0512,2026-05,cash|unpaid_ar
COMP_0518,2026-02,cash|pays_late
COMP_0521,2026-01,cash|unpaid_ar
COMP_0525,2025-10,cash|pays_late
COMP_0527,2026-01,cash|pays_late|unpaid_ar
COMP_0531,2026-01,cash|unpaid_ar
COMP_0542,2025-12,cash|unpaid_ar
COMP_0553,2026-05,pays_late|unpaid_ar
COMP_0562,2026-01,cash|pays_late
COMP_0568,2026-01,cash|pays_late
COMP_0569,2026-03,cash|pays_late
COMP_0579,2025-09,cash|unpaid_ar
COMP_0588,2026-03,cash|pays_late
COMP_0600,2026-04,cash|unpaid_ar
COMP_0609,2026-03,pays_late|unpaid_ar
COMP_0611,2025-12,cash|unpaid_ar
COMP_0614,2026-02,cash|unpaid_ar
COMP_0618,2025-11,cash|pays_late
COMP_0628,2025-09,pays_late|unpaid_ar
COMP_0629,2025-09,cash|pays_late|unpaid_ar
COMP_0637,2026-04,cash|unpaid_ar
COMP_0640,2025-12,pays_late|unpaid_ar
COMP_0641,2025-10,pays_late|unpaid_ar
COMP_0646,2025-12,cash|unpaid_ar
COMP_0647,2025-09,cash|pays_late
COMP_0649,2026-03,cash|pays_late
COMP_0651,2026-04,cash|unpaid_ar
COMP_0658,2025-11,cash|pays_late
COMP_0659,2026-04,cash|unpaid_ar
COMP_0665,2025-12,cash|unpaid_ar
COMP_0666,2025-10,cash|pays_late
COMP_0667,2026-03,cash|unpaid_ar
COMP_0674,2025-09,cash|pays_late
COMP_0685,2026-05,cash|unpaid_ar
COMP_0686,2026-05,cash|unpaid_ar
COMP_0695,2025-11,cash|pays_late
COMP_0697,2025-12,cash|pays_late
COMP_0707,2026-03,cash|unpaid_ar
COMP_0711,2025-09,cash|pays_late
COMP_0713,2025-12,cash|unpaid_ar
COMP_0719,2026-07,cash|unpaid_ar
COMP_0733,2026-03,cash|unpaid_ar
COMP_0737,2026-07,cash|unpaid_ar
COMP_0741,2025-12,pays_late|unpaid_ar
COMP_0743,2026-01,cash|pays_late
COMP_0759,2026-04,cash|unpaid_ar
COMP_0764,2025-12,cash|pays_late
COMP_0770,2025-11,cash|unpaid_ar
COMP_0772,2025-12,cash|pays_late
COMP_0778,2025-09,cash|unpaid_ar
COMP_0780,2025-12,cash|unpaid_ar
COMP_0788,2026-01,cash|pays_late|unpaid_ar
COMP_0790,2026-06,cash|unpaid_ar
COMP_0794,2025-09,cash|pays_late
COMP_0801,2026-05,cash|pays_late
COMP_0803,2025-10,cash|pays_late
COMP_0810,2026-04,cash|pays_late
COMP_0811,2025-09,cash|pays_late|unpaid_ar
COMP_0813,2025-09,cash|pays_late
COMP_0814,2025-12,cash|pays_late
COMP_0819,2026-05,cash|unpaid_ar
COMP_0828,2025-09,cash|unpaid_ar
COMP_0829,2026-03,cash|pays_late
COMP_0831,2026-03,pays_late|unpaid_ar
COMP_0838,2026-02,pays_late|unpaid_ar
COMP_0839,2026-02,pays_late|unpaid_ar
COMP_0843,2025-10,cash|pays_late
COMP_0846,2026-04,cash|unpaid_ar
COMP_0847,2026-05,cash|unpaid_ar
COMP_0856,2025-12,cash|pays_late
COMP_0862,2025-12,cash|unpaid_ar
COMP_0864,2026-07,cash|pays_late
COMP_0868,2026-04,cash|unpaid_ar
COMP_0873,2025-12,cash|unpaid_ar
COMP_0875,2025-09,cash|pays_late
COMP_0876,2025-09,cash|unpaid_ar
COMP_0879,2026-07,cash|pays_late
COMP_0895,2026-07,cash|pays_late|unpaid_ar
COMP_0908,2025-09,cash|pays_late
COMP_0915,2026-01,cash|unpaid_ar
COMP_0923,2025-09,pays_late|unpaid_ar
COMP_0931,2025-10,cash|pays_late
COMP_0945,2026-06,cash|pays_late
COMP_0950,2025-11,cash|unpaid_ar
COMP_0955,2026-01,cash|pays_late
COMP_0959,2025-10,pays_late|unpaid_ar
COMP_0960,2025-11,cash|pays_late
COMP_0961,2025-11,cash|pays_late
COMP_0973,2025-11,cash|unpaid_ar
COMP_0975,2025-11,cash|pays_late
COMP_0987,2025-09,cash|unpaid_ar
COMP_0993,2026-06,cash|unpaid_ar
COMP_0995,2026-05,cash|unpaid_ar
COMP_1003,2025-12,cash|pays_late
COMP_1011,2025-10,cash|unpaid_ar
COMP_1022,2025-11,cash|unpaid_ar
COMP_1029,2026-03,cash|pays_late
COMP_1030,2026-05,cash|unpaid_ar
COMP_1035,2026-01,cash|unpaid_ar
COMP_1042,2025-11,cash|unpaid_ar
COMP_1052,2026-05,cash|unpaid_ar
COMP_1058,2026-01,cash|unpaid_ar
COMP_1061,2025-09,cash|unpaid_ar
COMP_1064,2026-03,cash|unpaid_ar
COMP_1067,2026-07,cash|unpaid_ar
COMP_1069,2025-10,cash|unpaid_ar
COMP_1074,2026-04,cash|unpaid_ar
COMP_1077,2026-05,cash|unpaid_ar
COMP_1078,2026-06,cash|pays_late|unpaid_ar
COMP_1079,2026-05,cash|unpaid_ar
COMP_1085,2026-03,pays_late|unpaid_ar
COMP_1093,2026-06,cash|pays_late
COMP_1095,2026-07,cash|pays_late
COMP_1106,2026-03,cash|unpaid_ar
COMP_1109,2025-10,cash|unpaid_ar
COMP_1120,2026-02,cash|pays_late
COMP_1124,2026-01,cash|unpaid_ar
COMP_1134,2025-09,cash|pays_late
COMP_1135,2026-02,cash|pays_late
COMP_1138,2025-10,cash|pays_late|unpaid_ar
COMP_1142,2025-11,cash|pays_late
COMP_1156,2025-10,cash|unpaid_ar
COMP_1158,2026-03,cash|unpaid_ar
COMP_1165,2025-10,cash|pays_late
COMP_1168,2025-11,cash|pays_late
COMP_1169,2026-06,cash|pays_late
COMP_1170,2025-09,cash|pays_late
COMP_1171,2026-06,cash|unpaid_ar
COMP_1173,2026-06,cash|unpaid_ar
COMP_1174,2026-02,cash|unpaid_ar
COMP_1182,2026-02,cash|unpaid_ar
COMP_1184,2026-06,cash|unpaid_ar
COMP_1185,2025-09,cash|pays_late|unpaid_ar
COMP_1188,2026-01,cash|pays_late
COMP_1191,2026-06,cash|unpaid_ar
COMP_1192,2026-02,cash|unpaid_ar
COMP_1198,2026-03,cash|pays_late
COMP_1206,2026-02,cash|unpaid_ar
COMP_1207,2025-09,cash|pays_late
COMP_1210,2026-01,cash|pays_late
COMP_1212,2025-12,cash|unpaid_ar
COMP_1222,2026-05,cash|unpaid_ar
COMP_1223,2025-10,cash|pays_late
COMP_1224,2025-10,cash|unpaid_ar
COMP_1226,2025-10,cash|unpaid_ar
COMP_1227,2026-02,cash|pays_late
COMP_1236,2025-10,cash|pays_late
COMP_1241,2026-02,pays_late|unpaid_ar
COMP_1249,2026-07,cash|unpaid_ar
COMP_1250,2025-10,cash|pays_late
COMP_1264,2025-09,cash|pays_late|unpaid_ar
COMP_1267,2025-12,cash|unpaid_ar
COMP_1274,2026-03,cash|pays_late
COMP_1279,2026-03,cash|pays_late
COMP_1281,2026-04,pays_late|unpaid_ar
COMP_1282,2026-02,pays_late|unpaid_ar
